n,delta,epsilon,replicates,exceedances,exceedance_probability,wilson_low,wilson_high,mean_oscillation,q95_oscillation,max_oscillation,seed
500,0.2,0.35,5000,4512,0.9024,0.893862456018157,0.9103196974564611,0.5824108440345124,0.9539408521147829,1.585502238942118,260604231
500,0.1,0.35,5000,3019,0.6038,0.5901681806832633,0.6172724443929429,0.4076854409392346,0.6687322597228609,1.0694848751398984,260604231
500,0.05,0.35,5000,1084,0.2168,0.2055980726182023,0.2284367537634781,0.28232002904540177,0.46871126564843707,0.7712737570700815,260604231
500,0.02,0.35,5000,32,0.0064,0.004537188108410646,0.009020687251749749,0.1735106985346631,0.2874894803840456,0.49520543474695833,260604231
500,0.01,0.35,5000,0,0.0,0.0,0.0007677019450571244,0.11758318462689733,0.18100864172739384,0.293306530476352,260604231
2000,0.2,0.35,5000,4559,0.9118,0.9036200751079672,0.9193476455700841,0.5862349034823016,0.9601226597965584,1.5982678536872816,260604232
2000,0.1,0.35,5000,3068,0.6136,0.6000210905329249,0.6270044875851584,0.41147656302034674,0.6786526781041595,1.1514880693555305,260604232
2000,0.05,0.35,5000,1231,0.2462,0.2344569887134535,0.25833269679385756,0.29140964774645767,0.4806464547673625,0.784618099126188,260604232
2000,0.02,0.35,5000,76,0.0152,0.012161871202107252,0.01898249260382014,0.1812863314634772,0.3011531671931328,0.5142699203646479,260604232
2000,0.01,0.35,5000,0,0.0,0.0,0.0007677019450571244,0.12631025915868038,0.2051916054247531,0.31426125431720436,260604232
10000,0.2,0.35,5000,4611,0.9222,0.9144471825113035,0.9293045699662904,0.5922041095051048,0.9647754153971734,1.7274086843927248,260604233
10000,0.1,0.35,5000,3183,0.6366,0.6231680353410164,0.6498222284875942,0.418023587269616,0.6849628494894231,1.2728688111247883,260604233
10000,0.05,0.35,5000,1255,0.251,0.23917601154021137,0.26320630402842715,0.2939799561007323,0.480868151094721,0.8812346845647352,260604233
10000,0.02,0.35,5000,82,0.0164,0.01323266415044011,0.020309857170819144,0.1861214153428212,0.30402030532586194,0.5994570238568553,260604233
10000,0.01,0.35,5000,2,0.0004,0.00010970128207763504,0.0014573865014234437,0.1302500007440431,0.214849356172925,0.37357789704642075,260604233
50000,0.2,0.35,5000,4626,0.9252,0.9175773181415895,0.9321698281243341,0.5997800988020028,0.98100601499154,1.7865084237526228,260604234
50000,0.1,0.35,5000,3210,0.642,0.6286072583747001,0.6551747142729037,0.41984538247138653,0.6855593968409343,1.2061444589368155,260604234
50000,0.05,0.35,5000,1317,0.2634,0.25137578469949295,0.27578749186090823,0.296756684183173,0.48003349132191275,0.7516279419419659,260604234
50000,0.02,0.35,5000,81,0.0162,0.013053851931465627,0.020088976470571653,0.18688354894303563,0.3037376634047717,0.5582251339329725,260604234
50000,0.01,0.35,5000,0,0.0,0.0,0.0007677019450571244,0.13235913849563616,0.21686868040772259,0.33788958680557546,260604234
