n,replicates,t1_rms,t2_rms,t1_to_t2_rms_ratio,full_variance,t2_variance,full_to_t2_variance_ratio,max_identity_error,wrong_lambda_rms
200,10000,0.061725056979832056,0.8762271726237292,0.07044412557419984,0.7690455295619457,0.7677137812135872,1.0017346938155172,4.440892098500626e-16,0.24402982336029613
1000,10000,0.027481106846220578,0.8788234075151191,0.03127034010612399,0.7730537280073533,0.772407822089758,1.0008362239468882,4.440892098500626e-16,0.43898464986212177
5000,10000,0.011924693845510611,0.8692962181880436,0.01371764146215473,0.7556154425969228,0.755710419556571,0.9998743209605289,4.440892098500626e-16,0.9268044772509
50000,10000,0.0039024374687535394,0.8790286677218027,0.004439488280703711,0.772449694328166,0.7723514157017073,1.0001272459976907,4.440892098500626e-16,2.899762700657831
