alpha_label,b,seed,path,tau,successes,evidence_at_stop,evidence_previous,threshold_at_stop,threshold_previous,p_hat,k_hat,lambda_hat,sigma_hat2,v_hat,target,center,lower_95,upper_95,covers_95,lower_50,upper_50,covers_50
1e-1024,2357.8471352259025,260604241,0,6101,3682,2368.5239525015454,2367.4195650482734,2368.2566542717391,2368.2564903776142,0.60350762170136041,0.38821897270964517,-2.5219226356335018,0.78080687822484485,13.344839729072543,2.6184282293850227,2.5875299161052143,2.4400791784666409,2.7349806537437877,1,2.5367871412478444,2.6382726909625842,1
1e-1024,2357.8471352259025,260604241,1,6364,3784,2369.2159893250218,2368.1264804477673,2368.2988519174542,2368.2986947959203,0.59459459459459463,0.37228409637413917,-2.4662162162162158,0.75458275360817795,14.624580691232353,2.6184282293850227,2.699072346515913,2.5447133381616682,2.8534313548701578,1,2.6459522025711242,2.7521924904607018,0
1e-1024,2357.8471352259025,260604241,2,6556,3857,2368.4020738535569,2367.3231802985197,2368.3285708667263,2368.3284183463261,0.58831604636973767,0.36125718027052423,-2.4269752898108599,0.73607190636741682,15.612439878041272,2.6184282293850227,2.7805025618727726,2.621015426392423,2.9399896973531221,0,2.7256176563244323,2.8353874674211128,0
1e-1024,2357.8471352259025,260604241,3,6137,3696,2368.563440668529,2367.4611414418514,2368.2625366416423,2368.2623737088516,0.602248655694965,0.38594809201051472,-2.5140540980935309,0.77710792864760636,13.517446057495894,2.6184282293850227,2.6027980814846257,2.4543968205967293,2.7511993423725221,1,2.5517281994997534,2.6538679634694979,1
1e-1024,2357.8471352259025,260604241,4,6198,3720,2369.2194844709747,2368.1206032947462,2368.2724256741644,2368.2722643448101,0.60019361084220713,0.38225548313503949,-2.5012100677637941,0.77106595312946102,13.804807526262932,2.6184282293850227,2.6286691394886281,2.4786987752431653,2.778639503734091,1,2.5770592760857167,2.6802790028915395,1
1e-1024,2357.8471352259025,260604241,5,5942,3620,2368.5444024874619,2367.4305903090249,2368.2302517418293,2368.2300834624853,0.60922248401211709,0.39861063656806828,-2.5576405250757315,0.79756997645656602,12.592795400726217,2.6184282293850227,2.5200955190128149,2.3768597968572109,2.6633312411684189,1,2.470803273227717,2.5693877647979129,0
1e-1024,2357.8471352259025,260604241,6,6186,3715,2368.5818630334466,2367.4823888866531,2368.2704880019933,2368.2703263597077,0.6005496281926932,0.38289393194850413,-2.5034351762043321,0.77211301257898746,13.754519408962558,2.6184282293850227,2.6235797510288243,2.4738827918286304,2.7732767102290183,1,2.5720639755286197,2.675095526529029,1
1e-1024,2357.8471352259025,260604241,7,6382,3791,2369.370416010323,2368.2818833426918,2368.3016758917183,2368.3015192133007,0.5940144155437167,0.37125829144630568,-2.4625900971482286,0.75287322607156448,14.71273347958134,2.6184282293850227,2.7067064292056187,2.5518829038233304,2.8615299545879069,1,2.653426429275374,2.7599864291358633,0
1e-1024,2357.8471352259025,260604241,8,6144,3699,2369.0758631724552,2367.9738925422421,2368.2636764284625,2368.2635136812901,0.60205078125,0.3855917746048918,-2.5128173828124996,0.77652637841641359,13.544810399569254,2.6184282293850227,2.6057668914195111,2.4572154967810276,2.7543182860579947,1,2.5546453433444816,2.6568884394945407,1
1e-1024,2357.8471352259025,260604241,9,6181,3713,2368.4667128692008,2367.3669686289163,2368.2696795291545,2368.2695177561218,0.60071185892250445,0.38318503686607358,-2.5044491182656521,0.77259009240830756,13.7316747799319,2.6184282293850227,2.621459172503906,2.4718865794315854,2.7710317655762267,1,2.5699861955852996,2.6729321494225124,1
1e-1024,2357.8471352259025,260604241,10,6163,3706,2368.4172573327223,2367.3164837591853,2368.2667636029023,2368.2666013574249,0.60133052085023531,0.38429616377295511,-2.5083157553139701,0.77440914937693572,13.644961917619737,2.6184282293850227,2.6138250898142004,2.4647255056185222,2.7629246740098785,1,2.5625148912127282,2.6651352884156725,1
1e-1024,2357.8471352259025,260604241,11,6266,3746,2368.7321974017896,2367.6372627654828,2368.2833354566874,2368.2831758779748,0.59782955633578039,0.37802939632968235,-2.4864347270986267,0.7641098289919741,14.144222121065736,2.6184282293850227,2.6575090074275161,2.5057062003991102,2.8093118144559219,1,2.6052685386233501,2.7097494762316821,1
