alpha_label,b,replicates,seed,mean_tau,mean_tau_over_b,target_inverse_klinf,center_relative_error,sigma2_bd,sigma_hat2_ratio_mean,vhat_ratio_mean,vhat_ratio_median,vhat_relative_error_median,vhat_relative_error_q90,coverage_95,coverage_95_wilson_low,coverage_95_wilson_high,coverage_50,coverage_50_wilson_low,coverage_50_wilson_high,mean_width_95,mean_width_50,wrong_power2_coverage_95,literal_self_coverage_95,literal_self_coverage_50,min_p_hat,max_p_hat
1e-64,147.36544595161894,10000,260604241,406.3693,2.757561634451361,2.6184282293850227,0.0531362301646954,13.832245291385126,1.009451485750314,1.0095017578153256,0.9849007424643479,0.15874539154674316,0.3999592360269142,0.9406,0.9357958082816813,0.9450658123540785,0.4618,0.4520453564764698,0.47158398099904975,1.1973423926137938,0.4120459241411905,0.7302,1.0,1.0,0.5257903494176372,0.751131221719457
1e-256,589.4617838064758,10000,260604241,1566.4722,2.657461845761121,2.6184282293850227,0.014907269917902661,13.832245291385126,1.0029701988140436,1.0010814034497302,0.993470824755283,0.08458071563915048,0.20796833424964922,0.9483,0.9437855079930497,0.9524701990678017,0.4845,0.47471272102236833,0.49429918292712255,0.5995966742182031,0.20634145025207853,0.7609,1.0,1.0,0.5576227390180879,0.6532258064516129
1e-1024,2357.8471352259025,10000,260604241,6203.8014,2.6311296043395203,2.6184282293850227,0.004850763069217533,13.832245291385126,1.0003201971079112,1.001441178829193,0.9996693465454699,0.042566302757630625,0.10475033948999724,0.9469,0.9423310012839434,0.9511257809723457,0.4932,0.483405578811573,0.5029996435662681,0.3003019417313598,0.10334403247175783,0.7673,1.0,1.0,0.5754798052134059,0.6263636363636363
exp(-10000),10000.0,10000,260604241,26219.0832,2.62190832,2.6184282293850227,0.0013290761900297725,13.832245291385126,1.000040348207647,1.0004299662714256,1.0001564991345029,0.020789619348091204,0.050693644988451414,0.9513,0.9469053240451971,0.9553480790254302,0.501,0.4912016974054053,0.5107975345978534,0.14580285270980564,0.050175682042030496,0.777,1.0,1.0,0.5889612739775606,0.6136160532943374
