alpha_label,b,seed,path,tau,successes,evidence_at_stop,evidence_previous,threshold_at_stop,threshold_previous,p_hat,k_hat,lambda_hat,sigma_hat2,v_hat,target,center,lower_95,upper_95,covers_95,lower_50,upper_50,covers_50
1e-64,147.36544595161894,260604241,0,363,227,155.60641869151394,154.46726080354972,154.95574699981563,154.95299596644372,0.62534435261707988,0.42866782008681525,-2.6584022038567485,0.84452723896347015,10.721388030442217,2.6184282293850227,2.4632640145450062,1.9346048481001199,2.9919231809898923,1,2.2813345546534469,2.6451934744365655,1
1e-64,147.36544595161894,260604241,1,475,270,155.50910711310038,154.46536281698809,155.22401098641029,155.22190793621351,0.56842105263157894,0.32738759392231659,-2.3026315789473677,0.67739027939357332,19.304222104587758,2.6184282293850227,3.2232793578756969,2.5139034862034393,3.9326552295479544,1,2.9791591810492686,3.4673995347021251,0
1e-64,147.36544595161894,260604241,2,393,239,155.87808019284853,154.76680996935269,155.03494404147682,155.03240274404814,0.6081424936386769,0.39663633636857132,-2.5508905852417301,0.7944058853135203,12.731071552962765,2.6184282293850227,2.6668395529371556,2.0907596308261791,3.242919475048132,1,2.4685910107075419,2.8650880951667692,1
1e-64,147.36544595161894,260604241,3,438,256,155.31099201217719,154.23940881648426,155.14309254525406,155.14081204255532,0.58447488584474883,0.35459130596387489,-2.4029680365296797,0.72473912240318583,16.255392347228973,2.6184282293850227,2.9722028605253796,2.3212508273350929,3.6231548937156663,1,2.7481882981561725,3.1962174228945868,0
1e-64,147.36544595161894,260604241,4,438,256,155.31099201217719,154.23940881648426,155.14309254525406,155.14081204255532,0.58447488584474883,0.35459130596387489,-2.4029680365296797,0.72473912240318583,16.255392347228973,2.6184282293850227,2.9722028605253796,2.3212508273350929,3.6231548937156663,1,2.7481882981561725,3.1962174228945868,0
1e-64,147.36544595161894,260604241,5,417,248,155.3381198365731,154.24915824374847,155.09407456470365,155.0916793539777,0.59472422062350117,0.37251347682631436,-2.4670263788968816,0.75496466972682419,14.604969702264038,2.6184282293850227,2.8296999836508747,2.2126780678583939,3.4467218994433555,1,2.6173619197215814,3.042038047580168,1
1e-64,147.36544595161894,260604241,6,416,248,156.01992822442168,154.92856278312814,155.0916793539777,155.08927839244015,0.59615384615384615,0.37504790438562902,-2.4759615384615379,0.7591758996471597,14.390708738349204,2.6184282293850227,2.8229141323711366,2.2104349227100211,3.4353933420322522,1,2.6121393669248398,3.0336888978174334,1
1e-64,147.36544595161894,260604241,7,393,239,155.87808019284853,154.76680996935269,155.03494404147682,155.03240274404814,0.6081424936386769,0.39663633636857132,-2.5508905852417301,0.7944058853135203,12.731071552962765,2.6184282293850227,2.6668395529371556,2.0907596308261791,3.242919475048132,1,2.4685910107075419,2.8650880951667692,1
1e-64,147.36544595161894,260604241,8,443,258,155.49453082039895,154.42651406791163,155.15441769461111,155.15216290222401,0.58239277652370203,0.35100345557652135,-2.3899548532731369,0.71859510677490746,16.616902797825396,2.6184282293850227,3.0061321169240709,2.3479814898939098,3.664282743954232,1,2.7796402754828407,3.2326239583653011,0
1e-64,147.36544595161894,260604241,9,343,219,155.71678277295084,154.55683102123089,154.89923478955228,154.89632357934482,0.63848396501457727,0.45398478942551268,-2.7405247813411076,0.88228447322390413,9.4294145593314216,2.6184282293850227,2.3275469889502403,1.8317628548504712,2.8233311230500093,1,2.156930937125896,2.4981630407745845,0
1e-64,147.36544595161894,260604241,10,365,228,155.98816674747778,154.85010563954549,154.96122646558024,154.95849048576139,0.62465753424657533,0.42736484040404871,-2.6541095890410951,0.84253926379851785,10.794282504866555,2.6184282293850227,2.4768357171044828,1.9463824241996011,3.0072890100093645,1,2.2942888377514601,2.6593825964575055,1
1e-64,147.36544595161894,260604241,11,474,270,156.12765801562094,155.08180401330233,155.22190793621351,155.21980045387397,0.569620253164557,0.32938324475869396,-2.3101265822784809,0.68092313276201555,19.054325423577136,2.6184282293850227,3.2164935065959583,2.5117240914522778,3.9212629217396389,1,2.9739585669155986,3.4590284462763181,0
