alpha_label,b,seed,path,tau,successes,evidence_at_stop,evidence_previous,threshold_at_stop,threshold_previous,p_hat,k_hat,lambda_hat,sigma_hat2,v_hat,target,center,lower_95,upper_95,covers_95,lower_50,upper_50,covers_50
exp(-10000),10000,260604241,0,25786,15563,10012.335036240989,10011.230546472869,10011.850772948512,10011.850734168531,0.60354455906305748,0.38828569907085198,-2.5221534941441086,0.78091537300224445,13.339814372533812,2.6184282293850227,2.5785999999999998,2.507014842608406,2.6501851573915935,1,2.5539651315495298,2.6032348684504698,0
exp(-10000),10000,260604241,1,26480,15832,10012.845158634393,10011.750089944586,10011.877329954248,10011.877292190611,0.59788519637462234,0.37812859360401785,-2.4867824773413889,0.76427361082909751,14.136122699592118,2.6184282293850227,2.6480000000000001,2.5743092046217697,2.7216907953782306,1,2.6226405104591364,2.6733594895408639,0
exp(-10000),10000,260604241,2,27027,16042,10012.051592067339,10010.963792906889,10011.897775825231,10011.897738825879,0.5935545935545935,0.37044627935277091,-2.4597162097162086,0.75151816750300671,14.783040686734235,2.6184282293850227,2.7027000000000001,2.6273418935729307,2.7780581064270695,0,2.6767667324603051,2.7286332675396952,0
exp(-10000),10000,260604241,3,26229,15735,10012.778306893879,10011.679859833648,10011.86780625342,10011.86776812841,0.5999084982271532,0.38174456925135836,-2.499428113919707,0.77022732760832024,13.84523466191145,2.6184282293850227,2.6229,2.5499713370364026,2.6958286629635975,1,2.5978027859427764,2.6479972140572237,1
exp(-10000),10000,260604241,4,25545,15469,10011.929566334635,10010.821744753577,10011.841383208162,10011.841344062324,0.60555881777255827,0.39193304233057874,-2.5347426110784887,0.78682901924808968,13.069071466047649,2.6184282293850227,2.5545,2.4836450073307952,2.6253549926692048,1,2.5301164058714516,2.5788835941285484,0
exp(-10000),10000,260604241,5,25860,15592,10012.793264178152,10011.68977841014,10011.853638501898,10011.853599832886,0.60293890177880893,0.38719231493341655,-2.5183681361175552,0.77913617690529624,13.42249292507811,2.6184282293850227,2.5859999999999999,2.51419334721438,2.6578066527856197,1,2.5612889075096166,2.6107110924903831,0
exp(-10000),10000,260604241,6,26155,15706,10012.123179427637,10011.023751805667,10011.86498106924,10011.864942836364,0.6004970368954311,0.38279958629048505,-2.5031064805964438,0.77195834851129264,13.761934583185047,2.6184282293850227,2.6154999999999999,2.5427910562623883,2.6882089437376115,1,2.5904783987433264,2.6405216012566735,1
exp(-10000),10000,260604241,7,26222,15732,10012.254715659168,10011.156192360069,10011.867539347808,10011.867501212619,0.59995423690031269,0.38182650887267056,-2.4997139806269537,0.77036186846796739,13.838739935234056,2.6184282293850227,2.6221999999999999,2.5492884442687602,2.6951115557312395,1,2.59710867311875,2.6472913268812497,1
exp(-10000),10000,260604241,8,26113,15690,10012.593075030829,10011.493059546583,10011.863374028528,10011.863335734159,0.60085015126565311,0.38343327365797991,-2.5053134454103314,0.77299675223145914,13.712235922157966,2.6184282293850227,2.6113,2.5387224624042584,2.6838775375957415,1,2.5863236200313211,2.6362763799686788,1
exp(-10000),10000,260604241,9,25858,15591,10012.390290659334,10011.286791686878,10011.853561162377,10011.853522490375,0.60294686363987937,0.38720667842289946,-2.5184178977492455,0.77915956891836347,13.421402191148905,2.6184282293850227,2.5857999999999999,2.5139962648372158,2.6576037351627839,1,2.5610899115620955,2.6105100884379042,0
exp(-10000),10000,260604241,10,25887,15602,10011.922563638085,10010.819480259572,10011.854682000418,10011.854643371737,0.60269633406729251,0.38675484079414707,-2.5168520879205776,0.77842347291655778,13.455772899260902,2.6184282293850227,2.5886999999999998,2.5168043829617388,2.6605956170382608,1,2.5639582919079964,2.6134417080920032,0
exp(-10000),10000,260604241,11,26250,15743,10012.559722959753,10011.461567927283,10011.868606543092,10011.868568448579,0.59973333333333334,0.381430846588943,-2.4983333333333326,0.7697120573452032,13.870140303594452,2.6184282293850227,2.625,2.5520057722737559,2.6979942277262441,1,2.5998802228953282,2.6501197771046718,1
exp(-10000),10000,260604241,12,26428,15812,10012.965181496111,10011.869411195063,10011.87536435165,10011.875326513709,0.59830482821250186,0.37887714475163126,-2.4894051763281362,0.76550874298611626,14.075211571830225,2.6184282293850227,2.6427999999999998,2.5692681391193291,2.7163318608806706,1,2.6174952051833258,2.6681047948166738,1
exp(-10000),10000,260604241,13,26465,15826,10012.466229577249,10011.370973314071,10011.876763349894,10011.876725564853,0.59799735499716611,0.37832859359823345,-2.4874834687322878,0.76460375170317896,14.119812405722449,2.6184282293850227,2.6465000000000001,2.5728517292039328,2.7201482707960674,1,2.6211551446029402,2.67184485539706,0
exp(-10000),10000,260604241,14,26471,15828,10011.90435340098,10010.809197460587,10011.876990030161,10011.876952253684,0.59793736541876019,0.37822161434781382,-2.4871085338672505,0.76442717280664985,14.128533458268647,2.6184282293850227,2.6471,2.5734289884169232,2.7207710115830768,1,2.6217473187306943,2.6724526812693057,0
exp(-10000),10000,260604241,15,26248,15742,10012.154039107578,10011.055871404607,10011.868530352616,10011.8684922552,0.59974093264248707,0.38144445440062397,-2.4983808290155438,0.76973441237459506,13.869058721156135,2.6184282293850227,2.6248,2.5518086183449649,2.6977913816550352,1,2.599681202324478,2.6499187976755221,1
exp(-10000),10000,260604241,16,26291,15759,10012.824232456122,10011.726622298762,10011.870167169944,10011.870129134837,0.5994066410558746,0.38084607783865665,-2.4962915065992157,0.76875096321757952,13.916730300044208,2.6184282293850227,2.6291000000000002,2.5559832807311995,2.7022167192688009,1,2.6039380694217997,2.6542619305782007,1
exp(-10000),10000,260604241,17,25982,15639,10012.175259243739,10011.073470255113,10011.858344937558,10011.858306450116,0.60191671156954818,0.38535044489430137,-2.5119794473096757,0.77613232272431709,13.563387708978221,2.6184282293850227,2.5981999999999998,2.526017456851986,2.6703825431480137,1,2.5733595509507041,2.6230404490492956,1
exp(-10000),10000,260604241,18,26585,15872,10011.977176105866,10010.883541484689,10011.881287220987,10011.881249606498,0.59702839947338726,0.37660248922722833,-2.4814274967086698,0.76175122914094251,14.261447414983984,2.6184282293850227,2.6585000000000001,2.5844832701558929,2.7325167298441073,1,2.6330283454100827,2.6839716545899175,0
exp(-10000),10000,260604241,19,26261,15747,10012.105563729801,10011.007573608174,10011.869025486978,10011.868987408423,0.59963443890179358,0.38125378179543051,-2.4977152431362093,0.76942113219568542,13.884224557607247,2.6184282293850227,2.6261000000000001,2.5530687211563987,2.6991312788436015,1,2.6009674723554776,2.6512325276445226,1
exp(-10000),10000,260604241,20,27107,16073,10012.613588554066,10011.526814456229,10011.900731346816,10011.900694456657,0.59294647139115353,0.36937372592149875,-2.4559154461947088,0.74972586107041139,14.876627578470258,2.6184282293850227,2.7107000000000001,2.6351037353875895,2.7862962646124108,0,2.6846847741915791,2.7367152258084211,0
exp(-10000),10000,260604241,21,25943,15624,10012.404822360502,10011.302490807651,10011.856842828547,10011.856804283247,0.60224337971707209,0.3859385893058051,-2.5140211232317,0.77709242323701322,13.518174845231739,2.6184282293850227,2.5943000000000001,2.5222378656998692,2.6663621343001309,1,2.5695009876987114,2.6190990123012887,1
exp(-10000),10000,260604241,22,25865,15594,10012.898779640351,10011.795358939391,10011.853831824536,10011.853793162998,0.60289967137057798,0.38712154570424706,-2.5181229460661116,0.77902091648085769,13.427868793786633,2.6184282293850227,2.5865,2.5146789689429236,2.6583210310570764,1,2.5617839594611835,2.6112160405388165,0
exp(-10000),10000,260604241,23,26805,15957,10012.527997989017,10011.437263590833,10011.889528202599,10011.889490896821,0.59529938444320085,0.37353210214471244,-2.4706211527700046,0.75665911659847507,14.518323633133093,2.6184282293850227,2.6804999999999999,2.6058196529318516,2.7551803470681482,1,2.6547999723281279,2.7062000276718718,0
exp(-10000),10000,260604241,24,26594,15876,10012.923184549682,10011.829636422037,10011.881625687736,10011.881588085977,0.5969767616755659,0.37651061083513881,-2.4811047604722862,0.76159918791416836,14.269041867984747,2.6184282293850227,2.6594000000000002,2.585363565221829,2.7334364347781714,1,2.6339215642772866,2.6848784357227138,0
exp(-10000),10000,260604241,25,26072,15674,10012.380456987024,10011.279890450229,10011.861802755666,10011.861764401077,0.60118134397054313,0.38402809362484752,-2.5073833998158941,0.77397056326545643,13.66581238537106,2.6184282293850227,2.6072000000000002,2.5347454242095542,2.6796545757904462,1,2.5822659353381288,2.6321340646618716,1
exp(-10000),10000,260604241,26,26478,15831,10012.437954353705,10011.342873298123,10011.877254425548,10011.877216659057,0.59789259007477902,0.37814177635598251,-2.4868286879673684,0.76429537468135167,14.13504681906406,2.6184282293850227,2.6478000000000002,2.5741120089268152,2.7214879910731851,1,2.6224414755151395,2.6731585244848608,0
exp(-10000),10000,260604241,27,26502,15840,10011.977656385332,10010.882912987936,10011.878160393673,10011.878122661385,0.59769074032148517,0.37778196575297457,-2.4855671270092818,0.76370119797010649,14.164452931984266,2.6184282293850227,2.6501999999999999,2.5764353996446276,2.7239646003553721,1,2.624815111675797,2.6755848883242028,0
exp(-10000),10000,260604241,28,27058,16054,10012.242391348878,10011.154990773399,10011.898922126687,10011.898885169723,0.59331805750609801,0.37002891534292548,-2.4582378594131118,0.75082105852042824,14.819360294337812,2.6184282293850227,2.7058,2.6303493788496555,2.7812506211503445,0,2.6798348950219215,2.7317651049780785,0
exp(-10000),10000,260604241,29,26745,15934,10012.667541891646,10011.576009013024,10011.887287388992,10011.887249999525,0.5957749111983548,0.37437530536143748,-2.473593194989717,0.75805983485650374,14.447140774731013,2.6184282293850227,2.6745000000000001,2.6000029555197659,2.7489970444802343,1,2.6488630529345616,2.7001369470654386,0
exp(-10000),10000,260604241,30,26082,15678,10012.606468167778,10011.506029942757,10011.86218622066,10011.862147880776,0.60110420979986201,0.38388952028861967,-2.5069013112491372,0.77374377562936969,13.676607978754825,2.6184282293850227,2.6082000000000001,2.5357168113579687,2.6806831886420315,1,2.5832560886902969,2.6331439113097033,1
