alpha_label,b,seed,path,tau,successes,evidence_at_stop,evidence_previous,threshold_at_stop,threshold_previous,p_hat,k_hat,lambda_hat,sigma_hat2,v_hat,target,center,lower_95,upper_95,covers_95,lower_50,upper_50,covers_50
1e-256,589.46178380647575,260604241,10,1553,935,598.85127708192977,597.74944938683234,598.50351851796324,598.50287481018438,0.60206052801030263,0.38560932201025738,-2.5128783000643908,0.77655502511472363,13.543460998253671,2.6184282293850227,2.6346067593583986,2.3375187698781272,2.93169474883867,1,2.5323687563178332,2.736844762398964,1
1e-256,589.46178380647575,260604241,11,1622,962,599.54869763947261,598.46187211697986,598.5469625545503,598.54634622171102,0.59309494451294698,0.36963544860633329,-2.4568434032059181,0.75016347536065309,14.853714522889122,2.6184282293850227,2.7516626939338842,2.4405356229653599,3.0627897649024085,1,2.6445933691748147,2.8587320186929537,0
1e-256,589.46178380647575,260604241,12,1776,1020,598.98833204337802,597.93366392018333,598.63761281519032,598.63704991058785,0.57432432432432434,0.33726820497937954,-2.3395270270270268,0.69479031331698693,18.110379512871063,2.6184282293850227,3.0129179682038094,2.669372645842222,3.3564632905653968,0,2.8946924291181628,3.131143507289456,0
1e-256,589.46178380647575,260604241,13,1617,960,599.40391344178602,598.31608184038259,598.54387708465413,598.54325884661284,0.59369202226345086,0.37068887658737537,-2.4605751391465671,0.75192317418283983,14.761986622119121,2.6184282293850227,2.7431803798342114,2.433015466504362,3.0533452931640608,1,2.6364421659886474,2.8499185936797753,0
1e-256,589.46178380647575,260604241,14,1512,919,598.78069471670085,597.6693727449823,598.47678070082407,598.47611954377521,0.60780423280423279,0.39601897798723601,-2.5487764550264544,0.79341448406685688,12.774741724458536,2.6184282293850227,2.5650517837410809,2.2765182277048988,2.853585339777263,1,2.4657576499360143,2.6643459175461475,1
1e-256,589.46178380647575,260604241,15,1386,869,598.45653277787301,597.31414367759464,598.38982940735048,598.38910816678549,0.62698412698412698,0.43178682018605558,-2.6686507936507931,0.84926825601755684,10.54961828175535,2.6184282293850227,2.351297468429324,2.0890938764353097,2.6135010604233382,0,2.2610643638113017,2.4415305730473462,0
1e-256,589.46178380647575,260604241,16,1522,923,598.95568165345048,597.84660836540127,598.48336833993085,598.48271152545738,0.60643889618922475,0.39353198531764155,-2.5402431011826541,0.78941105212091967,12.952783091646962,2.6184282293850227,2.5820164119404265,2.2914791693505814,2.8725536545302717,1,2.4820327419736183,2.6820000819072347,1
1e-256,589.46178380647575,260604241,17,1448,894,599.07416698195675,597.94717597667545,598.43355992935642,598.43286955998133,0.61740331491712708,0.41372525344057787,-2.6087707182320439,0.82146902537439426,11.599922839331882,2.6184282293850227,2.4564781632652681,2.1815319047160471,2.7314244218144892,1,2.3618598770574577,2.5510964494730786,0
1e-256,589.46178380647575,260604241,18,1646,971,599.22601164431023,598.14456192650039,598.56164171721332,598.56103436827266,0.58991494532199273,0.36404982481428322,-2.4369684082624539,0.74078783685138061,15.353640366500017,2.6184282293850227,2.7923778016123144,2.4760583158829679,3.108697287341661,1,2.6835215917050657,2.9012340115195632,0
1e-256,589.46178380647575,260604241,19,1525,924,598.64713949321902,597.53895257850138,598.48533619888008,598.48468067607723,0.60590163934426233,0.39255550130702888,-2.5368852459016389,0.78783494556524702,13.023629618212777,2.6184282293850227,2.5871058004002303,2.2957750802582888,2.8784365205421718,1,2.4868490680301734,2.6873625327702872,1
1e-256,589.46178380647575,260604241,20,1792,1026,599.0198572705807,597.96829234401707,598.64657646064086,598.64601858057063,0.5725446428571429,0.33427447392331511,-2.3284040178571428,0.68954249325245254,18.460837219865734,2.6184282293850227,3.0400613733227626,2.6932079697559619,3.3869147768895633,0,2.9206974118562292,3.159425334789296,0
1e-256,589.46178380647575,260604241,21,1576,944,599.02436553204666,597.92765924602134,598.51821057399877,598.51757625745347,0.59898477157360408,0.38009160249495344,-2.4936548223350248,0.76750970441170252,13.977163691543184,2.6184282293850227,2.6736254042168937,2.3718180697578091,2.9754327386759782,1,2.5697633153048751,2.7774874931289122,1
1e-256,589.46178380647575,260604241,22,1623,962,598.87311478648985,597.78690578684757,598.54757850775729,598.5469625545503,0.59272951324707335,0.36899144472365364,-2.454559457794208,0.74908636654386052,14.910183975201372,2.6184282293850227,2.7533591567538189,2.4416412400164842,3.0650770734911537,1,2.6460865020263662,2.8606318114812717,0
