seed,path,alpha,b,tau,last_draw,evidence_previous,evidence_at_stop,counts_json
260604251,0,0.01,4.6051701859880918,353,41,4.5379023644846601,4.8244715985710798,"[11,4,9,6,8,8,9,8,4,9,6,12,8,4,10,15,11,8,12,8,7,10,3,9,7,7,9,10,9,11,10,7,5,5,8,7,8,7,3,15,12,4,5,5]"
260604251,1,0.01,4.6051701859880918,388,32,4.4383047260921993,4.6634943049487498,"[9,11,12,14,7,4,9,8,9,10,9,10,5,6,9,7,8,13,10,14,8,6,8,12,8,8,10,6,9,7,10,5,8,9,6,15,8,7,12,6,11,12,9,4]"
260604251,2,0.01,4.6051701859880918,103,36,4.5094053116753425,4.8211348187989236,"[2,3,0,3,1,1,2,3,5,3,1,2,2,3,2,1,2,0,5,1,4,4,2,3,4,3,0,3,3,0,2,3,2,3,5,2,2,2,2,2,0,3,3,4]"
260604251,3,0.01,4.6051701859880918,324,21,4.5845138584095295,4.8496632610254409,"[9,4,11,12,8,6,7,4,6,9,12,10,6,5,2,4,8,14,3,8,11,5,3,6,7,6,6,2,1,8,11,5,7,11,10,8,7,6,9,18,6,3,14,6]"
260604251,4,0.01,4.6051701859880918,73,41,4.0641693693887566,4.6366811994973682,"[3,5,0,2,3,2,1,1,1,2,4,1,2,1,1,1,2,2,2,3,2,3,1,0,2,1,0,2,1,2,3,0,2,1,2,3,0,1,2,0,2,3,0,1]"
260604251,5,0.01,4.6051701859880918,79,16,4.5942902732282809,4.6603316836275956,"[2,1,0,3,3,1,1,3,3,2,1,2,1,2,3,1,3,1,2,2,2,1,1,2,2,6,3,0,3,1,2,1,2,3,2,1,4,0,0,0,1,2,0,3]"
260604251,6,0.01,4.6051701859880918,133,29,4.1588331326191215,4.6198496913790361,"[3,3,2,4,6,5,2,2,2,2,2,3,7,3,2,1,4,2,4,3,2,5,3,3,4,3,4,4,3,3,1,2,3,1,2,5,4,4,2,2,2,2,2,5]"
260604251,7,0.01,4.6051701859880918,321,41,4.5028054654636431,4.7963494303169307,"[6,8,15,7,6,5,4,13,4,4,7,8,6,8,13,10,11,7,9,4,4,8,7,5,5,6,3,6,6,12,11,1,8,4,5,8,8,6,9,12,9,8,10,5]"
260604251,8,0.01,4.6051701859880918,119,43,4.5364469058482149,4.7951717976388313,"[2,3,1,3,2,1,3,4,1,4,1,2,1,0,4,3,2,2,4,1,6,1,2,2,2,2,1,3,3,5,5,3,4,2,3,2,5,1,5,6,1,4,3,4]"
260604251,9,0.01,4.6051701859880918,257,21,4.4684502259574108,4.7531503740972481,"[6,8,2,9,8,8,7,10,5,5,3,2,5,7,5,4,6,9,8,0,2,5,5,8,8,8,3,7,8,2,6,4,8,5,7,7,6,4,10,5,4,9,3,6]"
260604251,10,0.01,4.6051701859880918,163,36,4.4815355526530531,4.7582606528739166,"[2,4,5,7,3,5,7,4,5,6,3,2,2,3,4,4,3,4,3,5,2,2,3,2,2,4,3,2,5,7,3,3,4,4,5,6,3,3,2,4,3,3,5,2]"
260604251,11,0.01,4.6051701859880918,106,10,4.2921277931322388,4.6090227089099747,"[3,2,1,2,4,3,0,4,2,5,6,2,2,1,3,1,2,1,0,3,3,3,0,1,1,3,1,2,1,4,5,3,2,4,0,2,2,1,2,5,3,4,3,4]"
260604251,12,0.01,4.6051701859880918,66,29,4.4901734162726097,5.0830615891913062,"[1,3,0,2,0,1,1,1,0,3,1,1,4,0,1,2,3,0,1,0,0,1,4,1,1,2,2,1,1,4,2,0,1,1,1,3,4,1,1,2,3,4,1,0]"
260604251,13,0.01,4.6051701859880918,105,37,4.409747853086591,4.8147193888907145,"[5,1,4,4,1,2,1,2,3,5,4,2,3,0,2,5,0,0,3,2,1,2,3,2,0,2,1,1,6,2,3,1,4,1,3,3,4,5,2,3,1,2,2,2]"
260604251,14,0.01,4.6051701859880918,238,36,4.5583508600620792,4.7743834257518074,"[5,7,1,8,4,4,3,4,4,6,4,9,10,6,8,4,6,7,5,5,8,2,4,5,3,11,3,3,5,8,3,5,6,5,4,4,5,5,9,5,7,7,5,6]"
260604251,15,0.01,4.6051701859880918,258,34,4.4959639624865231,4.7645226511498278,"[5,8,5,6,7,3,5,9,5,9,7,8,3,6,8,5,7,6,4,4,8,4,4,6,6,3,8,3,7,4,6,5,5,3,10,6,4,7,7,7,10,4,4,7]"
260604251,16,0.01,4.6051701859880918,36,36,4.2747104128621611,4.7271374604542018,"[0,1,0,2,1,1,1,0,0,2,0,0,2,0,0,0,1,2,0,1,2,0,1,0,1,0,1,1,0,1,0,0,0,2,2,0,2,3,0,1,1,1,3,0]"
260604251,17,0.01,4.6051701859880918,278,10,4.5293697399362571,4.7489651651221125,"[9,5,5,9,5,9,6,5,1,8,6,6,6,2,10,5,11,5,4,6,9,3,8,7,6,11,8,5,6,3,7,6,3,12,9,7,4,4,6,4,9,2,8,8]"
260604251,18,0.01,4.6051701859880918,187,21,4.377024631649884,4.6826105964479821,"[5,3,8,4,8,3,5,4,1,2,4,6,2,2,3,5,3,3,4,3,3,6,5,6,4,3,4,1,6,4,6,10,5,4,2,5,3,5,5,4,5,9,0,4]"
260604251,19,0.01,4.6051701859880918,138,26,4.4058070591587208,4.6181641082031097,"[3,4,7,3,4,2,4,4,2,5,4,4,2,3,1,2,2,1,1,5,1,2,8,2,3,3,5,5,0,3,1,7,2,3,4,2,3,6,2,2,2,6,2,1]"
260604251,20,0.01,4.6051701859880918,224,29,4.4685971821880575,4.822444906931568,"[4,4,6,4,3,6,2,4,5,2,5,3,7,2,9,10,2,8,5,6,3,6,4,9,3,4,3,6,10,9,12,6,7,5,3,4,0,4,5,2,6,3,5,8]"
260604251,21,0.01,4.6051701859880918,79,18,4.4888046733723783,4.7116862583770809,"[2,1,1,2,0,3,0,0,3,2,4,2,0,2,1,1,1,1,5,2,3,2,2,3,1,1,2,2,2,3,0,3,2,2,1,4,3,1,1,2,1,3,0,2]"
260604251,22,0.01,4.6051701859880918,68,21,4.5725276031625395,5.0626113464173903,"[2,3,1,0,1,2,2,1,2,0,3,4,1,1,0,1,3,0,1,5,2,1,1,0,1,0,1,2,0,8,3,1,0,2,2,0,2,0,1,2,2,3,0,1]"
260604251,23,0.01,4.6051701859880918,148,20,4.3938571431504592,4.7230185039233259,"[5,4,3,3,3,2,4,6,1,2,6,4,4,5,4,3,5,2,2,5,5,2,4,1,2,2,4,5,1,6,2,4,3,4,3,4,4,5,3,3,1,1,3,3]"
260604251,24,0.01,4.6051701859880918,162,21,4.3899470606256505,4.7047606172902716,"[5,2,3,0,2,5,5,3,1,4,2,13,4,4,2,1,8,1,0,2,3,7,5,5,2,3,3,0,2,5,4,5,5,7,1,2,6,6,3,4,4,7,4,2]"
260604251,25,0.01,4.6051701859880918,136,37,4.3292755915368453,4.6867353427239475,"[4,1,1,3,5,5,1,2,1,2,5,5,2,1,2,3,4,0,2,1,3,2,6,5,1,5,3,3,3,3,6,6,6,2,2,6,1,3,3,3,3,4,4,3]"
260604251,26,0.01,4.6051701859880918,111,25,4.466506809045895,4.7646787773567603,"[1,3,1,5,3,3,1,3,1,3,4,2,3,3,1,2,2,2,1,0,1,1,4,3,4,6,6,1,2,1,4,3,1,2,1,4,3,0,2,1,6,5,3,3]"
260604251,27,0.01,4.6051701859880918,47,28,4.6025600901611732,5.0930884793827982,"[0,1,0,0,1,0,0,1,3,0,2,1,1,0,1,0,1,1,2,2,2,1,1,0,1,0,4,1,3,1,2,0,1,0,1,3,1,2,1,2,1,0,0,2]"
260604251,28,0.01,4.6051701859880918,176,36,4.4497445463692635,4.7174805961909794,"[8,4,0,2,8,7,6,5,6,5,4,0,6,6,2,5,4,2,5,6,5,6,4,4,4,1,4,3,5,2,2,2,1,1,4,5,6,3,3,5,1,6,4,4]"
260604251,29,0.01,4.6051701859880918,153,21,4.4112680971716589,4.7491509975649757,"[2,4,4,3,2,3,3,4,2,0,3,6,4,0,4,6,5,1,1,3,4,3,1,3,0,5,3,4,4,3,4,3,6,5,5,3,4,5,4,4,4,2,7,7]"
260604251,30,0.01,4.6051701859880918,413,36,4.47990179844499,4.6513110053462254,"[6,10,11,9,14,9,7,9,6,7,15,12,10,4,8,9,13,9,9,8,10,8,11,16,13,2,11,11,2,4,10,12,12,11,12,11,7,11,12,9,12,9,6,6]"
260604251,31,0.01,4.6051701859880918,90,10,4.4333908447547374,4.7863281828828388,"[4,2,2,1,2,1,3,3,2,1,6,4,0,3,2,3,2,1,2,1,2,2,0,0,1,1,0,4,1,3,3,3,1,1,2,1,3,3,1,1,0,3,6,3]"
260604251,32,0.01,4.6051701859880918,101,29,4.5584608356711502,5.1200625295180764,"[5,3,1,3,0,5,3,4,1,3,4,1,0,2,0,2,5,2,2,4,0,1,3,1,3,1,1,1,2,6,3,2,0,0,4,7,0,2,2,2,2,4,2,2]"
260604251,33,0.01,4.6051701859880918,214,20,4.5514897586944238,4.8197186292633312,"[6,3,4,7,2,3,5,8,2,3,5,6,4,5,10,4,4,7,6,4,8,4,4,5,7,2,8,3,4,5,4,3,5,7,6,2,7,2,3,5,5,4,8,5]"
260604251,34,0.01,4.6051701859880918,54,26,4.3732146190908727,4.6876719769425739,"[0,2,2,3,1,1,1,1,0,1,1,1,0,1,1,0,1,1,3,1,2,1,1,0,6,4,1,1,3,1,0,1,1,0,1,0,4,1,1,2,0,1,0,0]"
260604251,35,0.01,4.6051701859880918,23,43,4.3151702203317814,4.7302058085003562,"[0,0,1,0,0,1,0,1,0,1,2,0,0,3,0,0,0,0,1,0,0,0,2,0,0,2,2,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,1]"
260604251,36,0.01,4.6051701859880918,178,41,4.2570589872890201,4.6309473214064116,"[5,6,3,5,3,3,3,4,2,6,3,4,1,2,5,4,4,5,1,4,5,4,8,4,3,4,5,4,6,5,4,5,7,5,3,5,2,1,6,3,6,4,1,5]"
260604251,37,0.01,4.6051701859880918,183,20,4.4279655854498143,4.7339401000115728,"[2,4,9,5,4,2,6,4,5,4,5,3,3,8,3,1,6,2,7,10,3,3,3,4,6,5,2,5,3,4,4,3,1,4,2,3,7,7,2,5,5,2,3,4]"
260604251,38,0.01,4.6051701859880918,488,41,4.5905389877400475,4.8513880056767213,"[15,20,14,9,14,13,18,12,8,14,8,9,10,10,11,11,7,10,10,12,8,14,14,6,8,8,11,9,11,12,10,7,10,11,8,12,6,9,19,16,13,8,11,12]"
260604251,39,0.01,4.6051701859880918,259,37,4.517367806513958,4.7904075556209635,"[5,8,9,2,4,7,9,10,6,1,2,5,8,5,6,5,5,5,8,5,6,5,3,13,8,5,9,2,7,4,4,8,6,5,6,4,4,12,5,2,6,9,5,6]"
260604251,40,0.01,4.6051701859880918,271,20,4.5493218887892173,4.793739417249248,"[3,7,5,6,7,10,7,8,7,6,4,11,2,8,3,5,5,3,6,6,6,5,8,6,6,4,6,5,9,4,5,8,7,3,3,6,7,8,12,7,7,10,5,5]"
260604251,41,0.01,4.6051701859880918,250,29,4.4430281258982998,4.7978127371950228,"[6,6,7,8,2,8,9,5,6,5,1,12,5,6,5,3,6,2,8,10,6,10,7,6,3,6,6,2,7,3,6,1,2,7,4,4,8,7,5,4,8,5,7,6]"
260604251,42,0.01,4.6051701859880918,147,41,4.4644079733056605,4.8758543947272788,"[2,0,7,3,3,4,5,4,1,3,5,3,1,2,2,0,2,3,3,5,6,3,4,5,2,5,5,2,6,1,6,4,3,5,3,1,4,1,2,7,4,2,5,3]"
260604251,43,0.01,4.6051701859880918,284,37,4.3388464762328756,4.6160955133684931,"[9,10,3,9,6,9,5,9,5,6,8,6,2,6,8,3,6,6,8,12,2,7,5,6,6,5,3,8,1,6,10,10,7,5,5,5,8,8,12,3,4,6,7,9]"
260604251,44,0.01,4.6051701859880918,286,43,4.5929304161015789,4.7808967121117973,"[8,10,8,5,8,4,6,5,10,7,3,5,6,7,5,10,7,13,4,7,3,9,11,8,3,5,6,5,8,10,5,6,4,5,5,11,8,9,5,7,0,5,4,6]"
260604251,45,0.01,4.6051701859880918,145,41,4.2767045917533011,4.6845493038398871,"[3,6,2,2,5,4,2,3,3,3,4,7,4,3,4,4,3,2,2,0,4,2,2,2,3,2,2,3,3,2,3,3,2,8,3,5,3,9,3,0,2,5,4,4]"
260604251,46,0.01,4.6051701859880918,49,41,4.0581957774395656,4.7134374249984194,"[1,0,1,1,0,3,1,0,0,1,0,0,0,2,1,2,2,2,0,2,1,1,1,0,3,1,2,3,2,1,4,0,1,1,1,2,1,1,0,1,2,1,0,0]"
260604251,47,0.01,4.6051701859880918,40,25,4.5319555639655666,4.9519020192684424,"[0,0,1,0,0,0,1,1,0,1,1,1,2,1,1,1,0,2,1,0,1,1,0,0,1,2,0,1,0,1,4,0,0,1,3,1,2,2,2,0,2,0,0,2]"
260604251,48,0.01,4.6051701859880918,109,21,4.2844531553897829,4.6971821271137966,"[1,2,1,3,0,1,5,1,1,1,2,1,3,2,3,4,2,4,1,2,5,5,1,1,6,1,3,2,3,0,1,1,4,4,2,4,3,2,3,5,3,1,2,7]"
260604251,49,0.01,4.6051701859880918,309,32,4.558903108529428,4.81399067696647,"[10,4,16,10,7,13,3,13,7,8,5,5,7,13,11,8,6,8,3,3,5,6,6,6,5,9,2,7,6,9,8,5,4,5,13,6,5,8,6,4,4,6,8,6]"
260604251,50,0.01,4.6051701859880918,119,41,4.2571850848752986,4.714323394841923,"[0,5,1,7,3,1,3,2,2,3,5,1,2,3,1,3,6,1,3,2,4,2,2,2,3,2,1,1,2,4,1,1,2,4,2,3,2,3,3,6,3,3,5,4]"
260604251,51,0.01,4.6051701859880918,79,30,4.3587008516800729,4.6664722936549836,"[2,1,1,2,3,2,1,1,1,2,1,1,2,2,0,4,3,0,3,2,1,2,1,1,2,0,2,0,0,1,5,1,4,3,0,1,3,2,2,3,1,4,4,2]"
260604251,52,0.01,4.6051701859880918,331,20,4.6004530516807289,4.8344393910368115,"[12,10,4,11,6,11,9,10,6,6,10,5,9,7,6,4,12,6,4,7,9,8,5,7,6,6,6,10,5,7,9,7,8,7,5,7,6,4,6,16,6,7,11,8]"
260604251,53,0.01,4.6051701859880918,87,25,4.5411927366652094,4.8600302063915528,"[3,3,2,0,2,1,2,2,2,2,2,4,2,2,1,2,2,1,0,1,1,1,3,1,1,4,3,2,0,5,5,4,1,2,6,1,5,0,1,1,2,0,0,2]"
260604251,54,0.01,4.6051701859880918,285,34,4.5211409771683559,4.7925140072359422,"[4,6,6,5,10,10,3,8,7,12,6,8,8,7,5,9,4,3,6,8,4,3,4,5,5,3,7,10,10,7,8,4,5,10,9,9,4,6,9,8,6,4,3,7]"
260604251,55,0.01,4.6051701859880918,379,28,4.4836288854612238,4.6844427162153552,"[7,9,13,7,9,8,10,13,11,9,10,10,11,13,10,13,7,7,7,9,3,5,13,8,4,6,11,9,8,8,6,9,11,5,6,7,5,7,11,8,7,13,3,13]"
260604251,56,0.01,4.6051701859880918,133,36,4.3928660689260095,4.6951031826530727,"[4,6,4,3,1,2,2,3,1,2,6,1,3,3,0,1,5,2,2,5,3,3,2,2,5,2,1,2,4,1,3,6,0,1,4,5,4,8,7,2,4,2,5,1]"
260604251,57,0.01,4.6051701859880918,144,41,4.3603432233654251,4.770767104095178,"[3,1,2,4,4,7,3,3,2,3,7,3,4,1,3,6,3,3,4,5,3,3,3,5,5,6,3,2,3,2,2,4,5,1,3,2,1,3,1,2,5,4,1,4]"
260604251,58,0.01,4.6051701859880918,293,37,4.5568489459726633,4.8378888234403332,"[8,7,2,9,3,4,12,8,5,10,4,7,10,11,7,9,6,10,5,4,12,12,12,8,4,5,7,8,4,3,4,9,4,1,7,4,2,6,3,9,4,6,8,10]"
260604251,59,0.01,4.6051701859880918,142,21,4.5043713598751083,4.8560974396605312,"[5,2,7,1,2,4,5,2,5,4,2,1,3,3,2,3,3,1,3,3,3,4,2,6,5,3,2,2,7,4,5,2,6,2,1,2,2,2,2,2,4,4,5,4]"
260604251,60,0.01,4.6051701859880918,103,21,4.3992100765536728,4.8009275049245055,"[0,2,5,1,4,1,1,1,4,3,3,3,3,2,3,2,3,2,1,2,2,3,0,2,3,1,3,2,5,1,3,0,4,5,3,3,3,4,3,0,1,2,2,2]"
260604251,61,0.01,4.6051701859880918,92,37,4.2119508800169072,4.6653882433096836,"[3,1,2,0,3,0,3,2,2,1,3,3,1,2,2,3,5,1,4,0,1,3,1,0,3,3,0,1,0,2,1,2,4,1,2,3,1,5,3,2,2,1,6,4]"
