replicates,standardized_mean,variance_ratio,ks_distance,gaussian_95_coverage,coverage_wilson_low,coverage_wilson_high,skewness,excess_kurtosis,boundary,b,alpha_label,mean_tau,mean_tau_over_b,inverse_klinf,centering_relative_error,variance_ratio_ci_low,variance_ratio_ci_high,mean_overshoot,q99_tau
10000,1.6122967816752942,2.427143225403928,0.48948243381320755,0.6463,0.636874521883235,0.6556131201935049,0.8557113626943057,0.8590323848364023,growing,4.605170185988092,1e-2,24.9264,5.412698986856608,2.6184282293850227,1.0671557563095253,2.361244612269955,2.49585288027882,0.6570424361684648,60.02000000000044
10000,-0.010701075224077433,1.0002620669316347,0.1357450389343735,0.9488,0.9443051867264983,0.9529501363359824,1.092641053227713,1.390037965709836,constant,4.605170185988092,1e-2,11.9729,2.599882201189722,2.6184282293850227,-0.007082885827142471,0.9731042617014359,1.0285783445554575,0.5518640586355377,35.0
10000,1.1954468898209907,1.8194701177837103,0.4006024336465053,0.759,0.7505189879210942,0.7672821009228953,0.6099264955153642,0.5250191153485466,growing,9.210340371976184,1e-4,37.6098,4.0834321513712295,2.6184282293850227,0.5594974517710134,1.7700702487748678,1.8709772404535283,0.45860627509023405,79.0
10000,-0.009950719371008668,0.9777209060713093,0.0912386941982678,0.9616,0.9576530344728916,0.9651924582312997,0.7183624598383738,0.691473199648108,constant,9.210340371976184,1e-4,24.0043,2.6062337579875567,2.6184282293850227,-0.004657172291611767,0.9511751089103411,1.0053990691549675,0.5724868287500193,56.0
10000,0.921743348290964,1.4086962810215078,0.33237018553985087,0.8058,0.7979298772314973,0.8134352693649967,0.47296963116139923,0.34167466317533224,growing,18.420680743952367,1e-8,62.9465,3.41716470064038,2.6184282293850227,0.3050442484127024,1.3704492050868546,1.4485748651443806,0.5041702166047538,115.0
10000,-0.024653533810685302,0.960325249746799,0.07662882090768425,0.9575,0.9533674031449071,0.9612812383459237,0.5668845580082853,0.5203546351441211,constant,18.420680743952367,1e-8,47.8397,2.5970647157383744,2.6184282293850227,-0.008158907472390751,0.9342517566568646,0.9875109616516933,0.5589884406060984,90.0
10000,0.7554140599754208,1.2653749804035759,0.2792128762744105,0.8481,0.8409316310631291,0.8550010292712057,0.3645644962499875,0.20414735129805184,growing,36.841361487904734,1e-16,113.5194,3.0813030630605,2.6184282293850227,0.1767758338689277,1.2310191766626792,1.3011963020630686,0.5105269910938499,180.0
10000,0.011510396349601795,1.0188586810133902,0.04680175101834749,0.9524,0.9480503417292816,0.9564022165449302,0.3855552636731085,0.228746463401452,constant,36.841361487904734,1e-16,96.7263,2.6254811465574064,2.6184282293850227,0.0026935690248191904,0.9911959648804689,1.0477014075595614,0.4976641865819392,157.0
10000,0.4583965349512975,1.0766035236164642,0.17384969442577397,0.9139,0.9082418940371407,0.9192402321116132,0.2358368119837269,0.0517682931429162,growing,147.36544595161894,1e-64,406.5618,2.75886791082271,2.6184282293850227,0.05363510821553881,1.0473729951668433,1.1070809407587792,0.5112814903367172,523.0100000000002
10000,0.011724758362209011,1.0108482761851123,0.02437941392747145,0.9471,0.9425387352030741,0.9513178934538669,0.21560059951894736,0.009369300067823882,constant,147.36544595161894,1e-64,386.3952,2.6220203624047396,2.6184282293850227,0.0013718661368696376,0.9834030480699151,1.0394642373120044,0.5015817651743946,499.0
10000,0.2665379607478481,1.0300813558044306,0.10502118238367203,0.9383,0.9334137292299749,0.9428496577982899,0.07402310048530261,0.041642828394476084,growing,589.4617838064758,1e-256,1567.531,2.6592580605948677,2.6184282293850227,0.015593259632491228,1.002113936308048,1.0592417834667103,0.490683537248575,1786.0
10000,0.005836562793480618,1.0096902444702682,0.01202303719998532,0.9509,0.9464891019525378,0.9549646083167859,0.0861158927968085,0.04558410173684857,constant,589.4617838064758,1e-256,1543.9904,2.619322307935916,2.6184282293850227,0.0003414561991271617,0.9822764577150923,1.0382734230408495,0.49256665167272257,1759.0
10000,0.16666468377965438,1.01277562373797,0.06526551914034062,0.9456,0.9409811492738643,0.9498766313781887,0.03149951355417578,-0.07022769858948585,growing,2357.8471352259025,1e-1024,6203.9522,2.631193560987832,2.6184282293850227,0.004875188656901723,0.9852780668069734,1.04144614587461,0.49952679713261305,6624.0
10000,0.016045355347992705,1.006495164715544,0.012067115302520137,0.9504,0.94596893317954,0.9544851610881544,0.026885700035682948,-0.06914962015327264,constant,2357.8471352259025,1e-1024,6176.7512,2.619657189696572,2.6184282293850227,0.0004693503903438348,0.9791681265800973,1.0349878942244686,0.493415326507409,6598.02
10000,0.07203915650906849,0.9923198425851171,0.03492761930435945,0.9477,0.9431620418982289,0.9518941259606672,0.023722000790273923,0.049323163157050764,growing,10000.0,exp(-10000),26211.0749,2.62110749,2.6184282293850227,0.0010232324051923764,0.9653776742255226,1.0204112849012925,0.5000138465158943,27076.0
10000,-0.012098910857084396,0.9906554814257958,0.01229477022017511,0.9493,0.9448249795339455,0.9534299595301644,0.025070843762317215,0.044581220945274946,constant,10000.0,exp(-10000),26179.7825,2.61797825,2.6184282293850227,-0.00017185095240446712,0.9637585016199733,1.0186998075769065,0.4863979635406997,27039.08
